"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Newfoundland and Labrador","DivisionNo.1",1001,285,245970,0.00115867788754726
"2","Newfoundland and Labrador","DivisionNo.10",1010,0,23820,0
"3","Newfoundland and Labrador","DivisionNo.11",1011,0,2410,0
"4","Newfoundland and Labrador","DivisionNo.2",1002,0,22190,0
"5","Newfoundland and Labrador","DivisionNo.3",1003,0,17550,0
"6","Newfoundland and Labrador","DivisionNo.4",1004,0,21030,0
"7","Newfoundland and Labrador","DivisionNo.5",1005,10,40380,0.000247647350173353
"8","Newfoundland and Labrador","DivisionNo.6",1006,25,35650,0.000701262272089762
"9","Newfoundland and Labrador","DivisionNo.7",1007,0,35140,0
"10","Newfoundland and Labrador","DivisionNo.8",1008,10,38505,0.00025970653161927
"11","Newfoundland and Labrador","DivisionNo.9",1009,10,17945,0.000557258289217052
